Итерация,Оригинальный,Элитизм,Адаптивное распространение
0,2.46126,0.250302,0.634762
1,0.235381,0.250302,0.484608
2,0.235381,0.0751908,0.0108353
3,0.00350132,0.0751908,0.0108353
4,0.00350132,0.0751908,0.0108353
5,0.00350132,0.0751908,0.0108353
6,0.00350132,0.0751908,0.0108353
7,0.00350132,0.0751908,0.0108353
8,0.00350132,0.0751908,0.0108353
9,0.00350132,0.0751908,0.0108353
10,0.00350132,0.0751908,0.0108353
11,0.00350132,0.0751908,0.0108353
12,0.00350132,0.0751908,0.0108353
13,0.00350132,0.0751908,0.0108353
14,0.00350132,0.0751908,0.0108353
15,0.00350132,0.0751908,0.00902512
16,0.00350132,0.0751908,0.00902512
17,0.00350132,0.0751908,0.00902512
18,0.00350132,0.0751908,0.00902512
19,0.00350132,0.0751908,0.00752702
20,0.00350132,0.0751908,0.00752702
21,0.00350132,0.0751908,0.00752702
22,0.00350132,0.0751908,0.00752702
23,0.00350132,0.0751908,0.00752702
24,0.00350132,0.0751908,0.00752702
25,0.00350132,0.0751908,0.00752702
26,0.00350132,0.0751908,0.00752702
27,0.00350132,0.0751908,0.00752702
28,0.00350132,0.0751908,0.00752702
29,0.00350132,0.0751908,0.00752702
30,0.00350132,0.0751908,0.00752702
31,0.00350132,0.0751908,0.00752702
32,0.00350132,0.0751908,0.00752702
33,0.00350132,0.0751908,0.00752702
34,0.00350132,0.0751908,0.00752702
35,0.00350132,0.0751908,0.00752702
36,0.00350132,0.0751908,0.00752702
37,0.00350132,0.0751908,0.00752702
38,0.00350132,0.0751908,0.00752702
39,0.00350132,0.0751908,0.00752702
40,0.00350132,0.0751908,0.00752702
41,0.00350132,0.0751908,0.00752702
42,0.00350132,0.0751908,0.00752702
43,0.00350132,0.0751908,0.00752702
44,0.00350132,0.0751908,0.00752702
45,0.00350132,0.0751908,0.00752702
46,0.00350132,0.0751908,0.00752702
47,0.00350132,0.0751908,0.00752702
48,0.00350132,0.0751908,0.00752702
49,0.00350132,0.0751908,0.00752702
50,0.00350132,0.0751908,0.00752702
51,0.00350132,0.0751908,0.00752702
52,0.00350132,0.0751908,0.00752702
53,0.00350132,0.0751908,0.00752702
54,0.00350132,0.0751908,0.00752702
55,0.00350132,0.0751908,0.00752702
56,0.00350132,0.0343106,0.00752702
57,0.00350132,0.0343106,0.00752702
58,0.00350132,0.0343106,0.00752702
59,0.00350132,0.0343106,0.00752702
60,0.00350132,0.0343106,0.00752702
61,0.00350132,0.0343106,0.00752702
62,0.00350132,0.0343106,0.00752702
63,0.00350132,0.0343106,0.00752702
64,0.00350132,0.0343106,0.00752702
65,0.00350132,0.0343106,0.00752702
66,0.00350132,0.0343106,0.00752702
67,0.00350132,0.0343106,0.00752702
68,0.00350132,0.0343106,0.00752702
69,0.00350132,0.0343106,0.00752702
70,0.00350132,0.0343106,0.00752702
71,0.00350132,0.0343106,0.00752702
72,0.00350132,0.0343106,0.00752702
73,0.00350132,0.0343106,0.00752702
74,0.00350132,0.0343106,0.00752702
75,0.00350132,0.0343106,0.00752702
76,0.00350132,0.0343106,0.00752702
77,0.00350132,0.0343106,0.00752702
78,0.00350132,0.0343106,0.00752702
79,0.00350132,0.0343106,0.00752702
80,0.00350132,0.0343106,0.00752702
81,0.00350132,0.0343106,0.00752702
82,0.00350132,0.0343106,0.00752702
83,0.00350132,0.0343106,0.00752702
84,0.00350132,0.0343106,0.00752702
85,0.00350132,0.0343106,0.00152845
86,0.00350132,0.0343106,0.00152845
87,0.00350132,0.0343106,0.00152845
88,0.00350132,0.0343106,0.00152845
89,0.00350132,0.0343106,0.00152845
90,0.00350132,0.0343106,0.00152845
91,0.00350132,0.0343106,0.00152845
92,0.00350132,0.0343106,0.00152845
93,0.00350132,0.0343106,0.00152845
94,0.00350132,0.0343106,0.0014274
95,0.00350132,0.0343106,0.0014274
96,0.00350132,0.0343106,0.0014274
97,0.00350132,0.0343106,0.0014274
98,0.00350132,0.0343106,0.0014274
99,0.00350132,0.0343106,0.0014274
100,0.00350132,0.0343106,0.0014274
101,0.00350132,0.0286685,0.0014274
102,0.00350132,0.0286685,0.0014274
103,0.00350132,0.0286685,0.0014274
104,0.00350132,0.0286685,0.0014274
105,0.00350132,0.0286685,0.0014274
106,0.00350132,0.0286685,0.0014274
107,0.00350132,0.0286685,0.0014274
108,0.00350132,0.0286685,0.0014274
109,0.00350132,0.0286685,0.0014274
110,0.00350132,0.0286685,0.0014274
111,0.00350132,0.0286685,0.0014274
112,0.00350132,0.0286685,0.0014274
113,0.00350132,0.0286685,0.0014274
114,0.00350132,0.0286685,0.0014274
115,0.00350132,0.0286685,0.0014274
116,0.00350132,0.0286685,0.0014274
117,0.00350132,0.0286685,0.0014274
118,0.00350132,0.0286685,0.0014274
119,0.00350132,0.0286685,0.0014274
120,0.00350132,0.0286685,0.0014274
121,0.00350132,0.0286685,0.0014274
122,0.00350132,0.0269241,0.0014274
123,0.00350132,0.0269241,0.0014274
124,0.00350132,0.0269241,0.0014274
125,0.00350132,0.0269241,0.0014274
126,0.00350132,0.0269241,0.0014274
127,0.00350132,0.0269241,0.0014274
128,0.00350132,0.0269241,0.0014274
129,0.00350132,0.0269241,0.0014274
130,0.00350132,0.0269241,0.0014274
131,0.00350132,0.0269241,0.0014274
132,0.00350132,0.0269241,0.0014274
133,0.00350132,0.0269241,0.0014274
134,0.00350132,0.0269241,0.0014274
135,0.00350132,0.0269241,0.0014274
136,0.00350132,0.0269241,0.0014274
137,0.00350132,0.0269241,0.0014274
138,0.00350132,0.0269241,0.0014274
139,0.00350132,0.00913233,0.0014274
140,0.00350132,0.00913233,0.0014274
141,0.00350132,0.00913233,0.0014274
142,0.00350132,0.00913233,0.0014274
143,0.00350132,0.00913233,0.0014274
144,0.00350132,0.00913233,0.0014274
145,0.00350132,0.00913233,0.0014274
146,0.00350132,0.00913233,0.0014274
147,0.00350132,0.00913233,0.0014274
148,0.00350132,0.00913233,0.0014274
149,0.00350132,0.00913233,0.0014274
150,0.00350132,0.00913233,0.0014274
151,0.00350132,0.00913233,0.0014274
152,0.00350132,0.00913233,0.0014274
153,0.00350132,0.00913233,0.0014274
154,0.00350132,0.00913233,0.0014274
155,0.00350132,0.00913233,0.0014274
156,0.00350132,0.00913233,0.0014274
157,0.00350132,0.00913233,0.0014274
158,0.00350132,0.00913233,0.0014274
159,0.00350132,0.00913233,0.0014274
160,0.00350132,0.00913233,0.0014274
161,0.00350132,0.00913233,0.0014274
162,0.00350132,0.00913233,0.0014274
163,0.00350132,0.00913233,0.0014274
164,0.00350132,0.00913233,0.0014274
165,0.00350132,0.00913233,0.0014274
166,0.00350132,0.00913233,0.0014274
167,0.00350132,0.00913233,0.0014274
168,0.00350132,0.00913233,0.0014274
169,0.00350132,0.00913233,0.0014274
170,0.00350132,0.00913233,0.0014274
171,0.00350132,0.00913233,0.0014274
172,0.00350132,0.00913233,0.0014274
173,0.00350132,0.00607031,0.0014274
174,0.00350132,0.00607031,0.0014274
175,0.00350132,0.00607031,0.0014274
176,0.00350132,0.00607031,0.0014274
177,0.00350132,0.00607031,0.0014274
178,0.00350132,0.00607031,0.0014274
179,0.00350132,0.00607031,0.0014274
180,0.00350132,0.00607031,0.0014274
181,0.00350132,0.00607031,0.0014274
182,0.00350132,0.00607031,0.0014274
183,0.00350132,0.00607031,0.0014274
184,0.00350132,0.00607031,0.0014274
185,0.00350132,0.00607031,0.0014274
186,0.00350132,0.00607031,0.0014274
187,0.00350132,0.00607031,0.0014274
188,0.00350132,0.00607031,0.0014274
189,0.00350132,0.00607031,0.0014274
190,0.00350132,0.00607031,0.0014274
191,0.00350132,0.00607031,0.0014274
192,0.00350132,0.00607031,0.0014274
193,0.00350132,0.00607031,0.0014274
194,0.00350132,0.00607031,0.0014274
195,0.00350132,0.00607031,0.0014274
196,0.00350132,0.00607031,0.0014274
197,0.00350132,0.00607031,0.0014274
198,0.00350132,0.00607031,0.000695413
199,0.00350132,0.00607031,0.000695413
200,0.00350132,0.00607031,0.000695413
201,0.00350132,0.00607031,0.000695413
202,0.00350132,0.00607031,0.000695413
203,0.00350132,0.00607031,0.000695413
204,0.00350132,0.00607031,0.000695413
205,0.00350132,0.00607031,0.000695413
206,0.00350132,0.00607031,0.000695413
207,0.00350132,0.00607031,0.000695413
208,0.00350132,0.00607031,0.000695413
209,0.00350132,0.00607031,0.000695413
210,0.00350132,0.00607031,0.000695413
211,0.00350132,0.00607031,0.000695413
212,0.00350132,0.00456739,0.000695413
213,0.00350132,0.00456739,0.000695413
214,0.00350132,0.00456739,0.000695413
215,0.00350132,0.00456739,0.000695413
216,0.00350132,0.00456739,0.000695413
217,0.00350132,0.00456739,0.000695413
218,0.00350132,0.00456739,0.000695413
219,0.00350132,0.00456739,0.000695413
220,0.00350132,0.00456739,0.000695413
221,0.00350132,0.00456739,0.000695413
222,0.00350132,0.00456739,0.000695413
223,0.00350132,0.00456739,0.000695413
224,0.00350132,0.00456739,0.000695413
225,0.00350132,0.00456739,0.000695413
226,0.00350132,0.00456739,0.000695413
227,0.00350132,0.00456739,0.000695413
228,0.00350132,0.00456739,0.000695413
229,0.00350132,0.00456739,0.000695413
230,0.00350132,0.00456739,0.000695413
231,0.00350132,0.00456739,0.000695413
232,0.00350132,0.00456739,0.000695413
233,0.00350132,0.00456739,0.000695413
234,0.00350132,0.00456739,0.000695413
235,0.00350132,0.00456739,0.000695413
236,0.00260404,0.00456739,0.000695413
237,0.00260404,0.00456739,0.000695413
238,0.00260404,0.00456739,0.000695413
239,0.00260404,0.00456739,0.000695413
240,0.00260404,0.00456739,0.000695413
241,0.00260404,0.00456739,0.000695413
242,0.00260404,0.00456739,0.000695413
243,0.00260404,0.00456739,0.000695413
244,0.00260404,0.00456739,0.000695413
245,0.00260404,0.00456739,0.000695413
246,0.00260404,0.00456739,0.000695413
247,0.00260404,0.00456739,0.000695413
248,0.00260404,0.00456739,0.000695413
249,0.00260404,0.00456739,0.000695413
250,0.00260404,0.00456739,0.000695413
251,0.00260404,0.00456739,0.000695413
252,0.00260404,0.00456739,0.000695413
253,0.00260404,0.00456739,0.000695413
254,0.00260404,0.00456739,0.000695413
255,0.00260404,0.00456739,0.000695413
256,0.00260404,0.00456739,0.000695413
257,0.00260404,0.00456739,0.000695413
258,0.00260404,0.00456739,0.000695413
259,0.00260404,0.00456739,0.000695413
260,0.00260404,0.00456739,0.000695413
261,0.00260404,0.00456739,0.000695413
262,0.00260404,0.00456739,0.000695413
263,0.00260404,0.00456739,0.000695413
264,0.00260404,0.00456739,0.000695413
265,0.00260404,0.00416217,0.000695413
266,0.00260404,0.00416217,0.000695413
267,0.00260404,0.00416217,0.000695413
268,0.00260404,0.00416217,0.000695413
269,0.00260404,0.00416217,0.000695413
270,0.00260404,0.00416217,0.000695413
271,0.00260404,0.00416217,0.000695413
272,0.00260404,0.00416217,0.000695413
273,0.00260404,0.00416217,0.000695413
274,0.00260404,0.00416217,0.000695413
275,0.00260404,0.00416217,0.000695413
276,0.00260404,0.00416217,0.000695413
277,0.00260404,0.00416217,0.000695413
278,0.00260404,0.00416217,0.000695413
279,0.00260404,0.00416217,0.000695413
280,0.00260404,0.00416217,0.000695413
281,0.00260404,0.00416217,0.000695413
282,0.00260404,0.00416217,0.000695413
283,0.00260404,0.00416217,0.000695413
284,0.00260404,0.00416217,0.000695413
285,0.00260404,0.00416217,0.000695413
286,0.00260404,0.00416217,0.000695413
287,0.00260404,0.00416217,0.000695413
288,0.00260404,0.00416217,0.000695413
289,0.00260404,0.00416217,0.000695413
290,0.00260404,0.00416217,0.000695413
291,0.00260404,0.00416217,0.000695413
292,0.00260404,0.00416217,0.000695413
